job_title,company_name,location,post_Date,Qualifications,post_days_ago
Data Analyst,Square,"Houston, TX",24 days ago,PhD in Statistics; Excellent problem-solving skills,24
Data Analyst,T-Mobile,"Sacramento, CA",4 days ago,Familiarity with cloud services; PhD in Statistics; Master's in Computer Science; Knowledge of machine learning algorithms,4
Data Scientist,General Motors,"Birmingham, AL",6 days ago,Proficiency in data visualization tools; Experience with Agile methodologies; Experience with SQL,6
Statistician,CrowdStrike,"Omaha, NE",17 days ago,Experience with Agile methodologies; Proficiency in data visualization tools; 5+ years of experience; Strong analytical thinking,17
Quantitative Analyst,Qualcomm,"Cleveland, OH",24 days ago,Experience in a fast-paced environment; Strong analytical thinking; Knowledge of statistical analysis,24
Research Scientist,Kroger,"Boston, MA",21 days ago,5+ years of experience; Familiarity with cloud services,21
Statistician,NVIDIA,"Portland, OR",24 days ago,Strong programming skills in Python; 5+ years of experience; Experience with Agile methodologies; Familiarity with cloud services,24
Statistician,Goldman Sachs,"Long Beach, CA",24 days ago,Experience with Agile methodologies; Knowledge of statistical analysis; Master's in Computer Science,24
Data Analyst,HP,"Omaha, NE",10 days ago,Strong programming skills in Python; Strong communication skills; Knowledge of machine learning algorithms,10
AI Researcher,Delta Air Lines,"Pittsburgh, PA",30 days ago,Ability to work in teams; Strong analytical thinking,30
Machine Learning Engineer,Lyft,"San Diego, CA",15 days ago,Strong programming skills in Python; Strong analytical thinking,15
Data Scientist,Walmart,"Boston, MA",6 days ago,Familiarity with cloud services; Strong communication skills; Knowledge of statistical analysis,6
Data Architect,Salesforce,"Raleigh, NC",27 days ago,Strong communication skills; Master's in Computer Science; Strong programming skills in Python,27
Data Engineer,UnitedHealth Group,"San Francisco, CA",23 days ago,Excellent problem-solving skills; Experience with SQL; Experience in a fast-paced environment,23
Data Engineer,Visa,"Chicago, IL",28 days ago,Experience with big data technologies; Strong programming skills in Python; Excellent problem-solving skills,28
Statistician,Intuit,"Omaha, NE",18 days ago,PhD in Statistics; Excellent problem-solving skills; Knowledge of machine learning algorithms; Knowledge of statistical analysis,18
Machine Learning Engineer,Starbucks,"Detroit, MI",29 days ago,Experience with SQL; Knowledge of statistical analysis; Strong analytical thinking,29
Machine Learning Engineer,Boeing,"Phoenix, AZ",6 days ago,Proficiency in data visualization tools; Ability to work in teams; Experience with big data technologies,6
Data Scientist,3M,"Atlanta, GA",25 days ago,Strong analytical thinking; Experience with Agile methodologies,25
Data Scientist,Salesforce,"Nashville, TN",26 days ago,Strong programming skills in Python; Experience with SQL; PhD in Statistics,26
Statistician,DraftKings,"Virginia Beach, VA",15 days ago,PhD in Statistics; Knowledge of machine learning algorithms,15
Business Analyst,Ford Motor,"Charlotte, NC",28 days ago,Strong analytical thinking; Experience with big data technologies; Familiarity with cloud services; Ability to work in teams,28
Business Analyst,L3Harris Technologies,"Louisville, KY",11 days ago,Knowledge of statistical analysis; Experience with big data technologies; Familiarity with cloud services; Knowledge of machine learning algorithms,11
Data Analyst,Shopify,"Boston, MA",8 days ago,Proficiency in data visualization tools; Excellent problem-solving skills; Familiarity with cloud services,8
Research Scientist,Starbucks,"Washington, D.C.",11 days ago,Ability to work in teams; Experience in a fast-paced environment; PhD in Statistics; Strong programming skills in Python,11
AI Researcher,Walmart,"Oklahoma City, OK",3 days ago,Excellent problem-solving skills; Experience with SQL; Experience in a fast-paced environment; 5+ years of experience,3
Data Architect,Danaher,"Milwaukee, WI",9 days ago,Strong programming skills in Python; Familiarity with cloud services; Knowledge of machine learning algorithms,9
Data Engineer,L3Harris Technologies,"Baltimore, MD",16 days ago,Experience with Agile methodologies; Familiarity with cloud services; Knowledge of statistical analysis; Experience in a fast-paced environment,16
Machine Learning Engineer,Twilio,"Oklahoma City, OK",12 days ago,Knowledge of statistical analysis; Strong programming skills in Python; Experience with big data technologies,12
Research Scientist,RingCentral,"Sacramento, CA",20 days ago,5+ years of experience; PhD in Statistics,20
Research Scientist,ServiceNow,"Indianapolis, IN",23 days ago,Experience with big data technologies; Ability to work in teams,23
Machine Learning Engineer,Adobe,"Oklahoma City, OK",5 days ago,Knowledge of machine learning algorithms; Knowledge of statistical analysis; Excellent problem-solving skills,5
Business Analyst,Pfizer,"Salt Lake City, UT",17 days ago,Strong programming skills in Python; Master's in Computer Science; Proficiency in data visualization tools; Experience with big data technologies,17
Data Engineer,Salesforce,"Philadelphia, PA",6 days ago,Knowledge of machine learning algorithms; Proficiency in data visualization tools; Experience with Agile methodologies,6
Data Engineer,Honeywell,"Miami, FL",18 days ago,Proficiency in data visualization tools; Excellent problem-solving skills,18
Business Analyst,Uber Technologies,"Austin, TX",9 days ago,5+ years of experience; Experience with Agile methodologies; Master's in Computer Science,9
Data Engineer,Alibaba,"Nashville, TN",12 days ago,Knowledge of machine learning algorithms; Experience in a fast-paced environment,12
Data Engineer,Netflix,"Virginia Beach, VA",7 days ago,Master's in Computer Science; Ability to work in teams; Experience in a fast-paced environment; 5+ years of experience,7
Machine Learning Engineer,Uber Technologies,"Houston, TX",28 days ago,Familiarity with cloud services; Experience with SQL; Knowledge of machine learning algorithms,28
Research Scientist,Lowe's,"Miami, FL",26 days ago,Excellent problem-solving skills; Experience in a fast-paced environment; Ability to work in teams; Strong communication skills,26
Research Scientist,Snap Inc.,"San Jose, CA",23 days ago,Strong programming skills in Python; Knowledge of statistical analysis; Experience in a fast-paced environment; Experience with big data technologies,23
Machine Learning Engineer,Apple,"Atlanta, GA",12 days ago,Knowledge of statistical analysis; Knowledge of machine learning algorithms; Master's in Computer Science; Familiarity with cloud services,12
Data Scientist,Square,"Washington, D.C.",10 days ago,5+ years of experience; Experience in a fast-paced environment; Knowledge of machine learning algorithms,10
Data Analyst,Target,"Los Angeles, CA",26 days ago,Experience with big data technologies; Strong programming skills in Python; Experience in a fast-paced environment,26
Statistician,Wells Fargo,"Louisville, KY",19 days ago,Experience with SQL; Experience in a fast-paced environment; Proficiency in data visualization tools; Excellent problem-solving skills,19
Data Scientist,General Electric,"Los Angeles, CA",1 days ago,Experience with big data technologies; Master's in Computer Science,1
Data Architect,HP,"Charlotte, NC",14 days ago,Strong analytical thinking; Experience in a fast-paced environment; Experience with SQL; Strong communication skills,14
Machine Learning Engineer,T-Mobile,"Cincinnati, OH",4 days ago,Knowledge of statistical analysis; PhD in Statistics; Proficiency in data visualization tools; Strong communication skills,4
Data Analyst,Netflix,"Baltimore, MD",21 days ago,Master's in Computer Science; Excellent problem-solving skills,21
Research Scientist,Alphabet,"Nashville, TN",5 days ago,Knowledge of machine learning algorithms; Experience with SQL,5
Research Scientist,Kroger,"New York, NY",20 days ago,Strong communication skills; Strong programming skills in Python; Experience with SQL; Experience with big data technologies,20
Research Scientist,Chevron,"Dallas, TX",26 days ago,Experience with SQL; Strong communication skills,26
AI Researcher,American Express,"Tampa, FL",13 days ago,Strong analytical thinking; Experience with SQL; 5+ years of experience; Experience with big data technologies,13
Data Engineer,RingCentral,"Houston, TX",6 days ago,Familiarity with cloud services; Experience in a fast-paced environment,6
Data Scientist,Coca-Cola,"Indianapolis, IN",1 days ago,Knowledge of statistical analysis; Strong communication skills,1
Quantitative Analyst,Zoom Video Communications,"Columbus, OH",23 days ago,Experience in a fast-paced environment; Strong communication skills; Strong programming skills in Python; Master's in Computer Science,23
Data Architect,General Motors,"Chicago, IL",20 days ago,Experience with SQL; Excellent problem-solving skills; Master's in Computer Science; Familiarity with cloud services,20
Data Analyst,Danaher,"Tampa, FL",4 days ago,Strong communication skills; Strong programming skills in Python,4
Machine Learning Engineer,NVIDIA,"Austin, TX",1 days ago,Experience with Agile methodologies; Strong programming skills in Python; Ability to work in teams,1
Research Scientist,Intel,"Denver, CO",18 days ago,Ability to work in teams; 5+ years of experience,18
Data Engineer,Snap Inc.,"Tampa, FL",7 days ago,Familiarity with cloud services; Experience in a fast-paced environment,7
AI Researcher,Goldman Sachs,"Denver, CO",25 days ago,Excellent problem-solving skills; Experience with big data technologies; Strong analytical thinking,25
AI Researcher,Bank of America,"Seattle, WA",24 days ago,Proficiency in data visualization tools; Experience with SQL; Familiarity with cloud services; Knowledge of statistical analysis,24
Quantitative Analyst,Visa,"San Francisco, CA",8 days ago,Proficiency in data visualization tools; Familiarity with cloud services; Knowledge of machine learning algorithms; Strong programming skills in Python,8
Statistician,Salesforce,"Goleta, CA",27 days ago,Experience with SQL; Experience with Agile methodologies,27
Quantitative Analyst,Bristol Myers Squibb,"Indianapolis, IN",2 days ago,PhD in Statistics; Experience with Agile methodologies; Experience with SQL; Strong programming skills in Python,2
Research Scientist,Oracle,"Atlanta, GA",7 days ago,Proficiency in data visualization tools; Experience in a fast-paced environment; Excellent problem-solving skills,7
Data Scientist,IBM,"Salt Lake City, UT",26 days ago,Proficiency in data visualization tools; Strong analytical thinking,26
Statistician,Meta,"Washington, D.C.",3 days ago,Ability to work in teams; Knowledge of statistical analysis; Excellent problem-solving skills,3
Data Analyst,Twilio,"New Orleans, LA",17 days ago,Familiarity with cloud services; Master's in Computer Science; 5+ years of experience; Experience with Agile methodologies,17
Machine Learning Engineer,Qualcomm,"Indianapolis, IN",7 days ago,Knowledge of statistical analysis; Experience with SQL; Excellent problem-solving skills; Experience with big data technologies,7
Business Analyst,Tesla,"Goleta, CA",11 days ago,Strong communication skills; PhD in Statistics; Experience in a fast-paced environment; Experience with Agile methodologies,11
Machine Learning Engineer,Morgan Stanley,"Kansas City, MO",27 days ago,Experience with SQL; Ability to work in teams; Experience with big data technologies,27
Machine Learning Engineer,Morgan Stanley,"Seattle, WA",8 days ago,Strong communication skills; Strong programming skills in Python; Experience in a fast-paced environment; Experience with Agile methodologies,8
Data Analyst,PepsiCo,"Los Angeles, CA",29 days ago,Master's in Computer Science; Ability to work in teams,29
Business Analyst,Nordstrom,"Austin, TX",26 days ago,Strong communication skills; Knowledge of machine learning algorithms,26
AI Researcher,Gilead Sciences,"Charlotte, NC",3 days ago,Proficiency in data visualization tools; Knowledge of statistical analysis,3
AI Researcher,Snap Inc.,"Birmingham, AL",21 days ago,PhD in Statistics; Knowledge of statistical analysis,21
Business Analyst,Lowe's,"Omaha, NE",8 days ago,Strong analytical thinking; PhD in Statistics; Experience in a fast-paced environment,8
Data Architect,Bristol Myers Squibb,"Mountain View, CA",23 days ago,Knowledge of machine learning algorithms; 5+ years of experience; Knowledge of statistical analysis; Experience with Agile methodologies,23
Business Analyst,L3Harris Technologies,"Seattle, WA",18 days ago,PhD in Statistics; 5+ years of experience; Strong communication skills,18
Statistician,3M,"Fresno, CA",3 days ago,PhD in Statistics; Experience with Agile methodologies; Experience with big data technologies; 5+ years of experience,3
AI Researcher,IBM,"San Francisco, CA",24 days ago,Strong programming skills in Python; PhD in Statistics; 5+ years of experience; Experience in a fast-paced environment,24
Data Analyst,Lockheed Martin,"Baltimore, MD",8 days ago,Experience with Agile methodologies; Knowledge of statistical analysis; Experience with SQL,8
Business Analyst,Wells Fargo,"San Diego, CA",10 days ago,Experience with big data technologies; Master's in Computer Science,10
Machine Learning Engineer,Adobe,"San Diego, CA",23 days ago,Experience with Agile methodologies; 5+ years of experience,23
Business Analyst,Berkshire Hathaway,"Washington, D.C.",13 days ago,Master's in Computer Science; Familiarity with cloud services; Knowledge of statistical analysis,13
Business Analyst,Caterpillar,"San Diego, CA",21 days ago,Familiarity with cloud services; Strong programming skills in Python; PhD in Statistics,21
AI Researcher,Pfizer,"Charlotte, NC",14 days ago,Strong programming skills in Python; Strong analytical thinking; Experience with Agile methodologies,14
Data Engineer,Zebra Technologies,"Philadelphia, PA",26 days ago,Experience in a fast-paced environment; Strong programming skills in Python; Knowledge of statistical analysis,26
Statistician,BlackRock,"Cincinnati, OH",3 days ago,Strong communication skills; Experience with big data technologies; Ability to work in teams,3
Statistician,Microsoft,"Louisville, KY",23 days ago,Experience in a fast-paced environment; Experience with Agile methodologies; Excellent problem-solving skills; Ability to work in teams,23
Machine Learning Engineer,AbbVie,"Atlanta, GA",6 days ago,Experience with Agile methodologies; Strong programming skills in Python,6
Statistician,Wells Fargo,"Cincinnati, OH",26 days ago,Experience with big data technologies; Proficiency in data visualization tools,26
Machine Learning Engineer,HP,"San Francisco, CA",28 days ago,Knowledge of statistical analysis; Excellent problem-solving skills,28
Data Architect,RingCentral,"Houston, TX",9 days ago,PhD in Statistics; Excellent problem-solving skills; Knowledge of machine learning algorithms,9
Business Analyst,Apple,"Tucson, AZ",15 days ago,Master's in Computer Science; Strong analytical thinking,15
Data Engineer,Mastercard,"Goleta, CA",21 days ago,Experience with big data technologies; Experience with Agile methodologies; Knowledge of statistical analysis; Master's in Computer Science,21
Quantitative Analyst,Alibaba,"Austin, TX",29 days ago,Experience with big data technologies; Experience with SQL; Strong communication skills; Familiarity with cloud services,29
Data Scientist,Walt Disney,"Charlotte, NC",8 days ago,Experience in a fast-paced environment; Familiarity with cloud services; 5+ years of experience,8
Statistician,Broadcom,"Fresno, CA",13 days ago,5+ years of experience; Experience with big data technologies,13
Data Scientist,Intel,"Cleveland, OH",3 days ago,Ability to work in teams; 5+ years of experience; Strong analytical thinking; Experience with SQL,3
Data Analyst,Verizon,"Kansas City, MO",15 days ago,Experience with SQL; Knowledge of machine learning algorithms; Strong communication skills; Experience in a fast-paced environment,15
AI Researcher,Kroger,"Cincinnati, OH",19 days ago,Experience in a fast-paced environment; Ability to work in teams; Knowledge of machine learning algorithms; Knowledge of statistical analysis,19
Data Engineer,Square,"Omaha, NE",28 days ago,Familiarity with cloud services; Strong programming skills in Python; Experience with SQL,28
Statistician,American Express,"Raleigh, NC",20 days ago,Strong communication skills; Proficiency in data visualization tools,20
Machine Learning Engineer,American Airlines,"Cincinnati, OH",15 days ago,Excellent problem-solving skills; Strong communication skills,15
AI Researcher,IBM,"Tucson, AZ",28 days ago,Experience in a fast-paced environment; Ability to work in teams; Master's in Computer Science,28
Quantitative Analyst,Qualcomm,"Denver, CO",18 days ago,Master's in Computer Science; 5+ years of experience,18
Data Analyst,Delta Air Lines,"Milwaukee, WI",4 days ago,Strong communication skills; Experience with SQL,4
Data Analyst,Zebra Technologies,"San Diego, CA",1 days ago,Proficiency in data visualization tools; Strong analytical thinking; Master's in Computer Science,1
Data Architect,United Parcel Service,"Columbus, OH",27 days ago,Familiarity with cloud services; Master's in Computer Science; Excellent problem-solving skills; Experience with SQL,27
AI Researcher,Shopify,"Louisville, KY",1 days ago,Ability to work in teams; Strong analytical thinking; PhD in Statistics,1
Data Architect,Intuit,"Houston, TX",5 days ago,PhD in Statistics; Strong programming skills in Python,5
Data Analyst,PepsiCo,"Indianapolis, IN",25 days ago,Strong programming skills in Python; 5+ years of experience,25
Data Engineer,Salesforce,"New Orleans, LA",6 days ago,Experience with big data technologies; PhD in Statistics; Strong analytical thinking,6
Data Analyst,Square,"Nashville, TN",23 days ago,Strong programming skills in Python; 5+ years of experience,23
Machine Learning Engineer,JPMorgan Chase,"Tucson, AZ",17 days ago,Master's in Computer Science; Strong analytical thinking,17
Data Scientist,RingCentral,"Indianapolis, IN",27 days ago,PhD in Statistics; Experience with big data technologies,27
Data Analyst,Meta,"New Orleans, LA",8 days ago,Experience with Agile methodologies; Experience with SQL,8
Quantitative Analyst,Coinbase,"Raleigh, NC",9 days ago,Experience with big data technologies; 5+ years of experience,9
Data Engineer,CVS Health,"Indianapolis, IN",1 days ago,Experience with Agile methodologies; Ability to work in teams; Knowledge of statistical analysis,1
Data Analyst,Berkshire Hathaway,"Sacramento, CA",23 days ago,Ability to work in teams; Strong programming skills in Python; Experience with Agile methodologies,23
Quantitative Analyst,AT&T,"Cleveland, OH",13 days ago,Master's in Computer Science; Experience with Agile methodologies,13
Data Analyst,Intuit,"Louisville, KY",11 days ago,Familiarity with cloud services; Knowledge of machine learning algorithms,11
Quantitative Analyst,Walmart,"Indianapolis, IN",19 days ago,Experience in a fast-paced environment; Proficiency in data visualization tools,19
Quantitative Analyst,Bank of America,"Austin, TX",16 days ago,Master's in Computer Science; Familiarity with cloud services; Experience with Agile methodologies; Experience with SQL,16
Statistician,Twilio,"Atlanta, GA",6 days ago,Excellent problem-solving skills; PhD in Statistics; Familiarity with cloud services; Experience in a fast-paced environment,6
Machine Learning Engineer,Berkshire Hathaway,"Miami, FL",8 days ago,Experience in a fast-paced environment; Proficiency in data visualization tools,8
Data Scientist,Salesforce,"Nashville, TN",23 days ago,Proficiency in data visualization tools; Excellent problem-solving skills; Familiarity with cloud services,23
Machine Learning Engineer,T-Mobile,"Pittsburgh, PA",6 days ago,Excellent problem-solving skills; Experience with Agile methodologies,6
Business Analyst,Boeing,"Dallas, TX",2 days ago,Experience with big data technologies; Proficiency in data visualization tools; Experience with SQL; Ability to work in teams,2
Research Scientist,PepsiCo,"Seattle, WA",16 days ago,Experience with SQL; Experience with big data technologies; Master's in Computer Science,16
Quantitative Analyst,RingCentral,"New Orleans, LA",8 days ago,PhD in Statistics; Strong analytical thinking; Excellent problem-solving skills; Knowledge of machine learning algorithms,8
Machine Learning Engineer,ExxonMobil,"San Diego, CA",25 days ago,Knowledge of machine learning algorithms; Experience in a fast-paced environment; Master's in Computer Science,25
Data Analyst,Tesla,"Chicago, IL",11 days ago,Ability to work in teams; Excellent problem-solving skills,11
Data Scientist,Salesforce,"Los Angeles, CA",1 days ago,Experience with Agile methodologies; PhD in Statistics; Excellent problem-solving skills,1
Statistician,American Airlines,"Salt Lake City, UT",16 days ago,Experience with big data technologies; Experience in a fast-paced environment; Experience with SQL; Excellent problem-solving skills,16
Quantitative Analyst,Apple,"Baltimore, MD",13 days ago,Excellent problem-solving skills; Knowledge of statistical analysis,13
Statistician,AIG,"Baltimore, MD",24 days ago,Knowledge of machine learning algorithms; Experience with Agile methodologies; PhD in Statistics; 5+ years of experience,24
Data Scientist,Intel,"Fresno, CA",23 days ago,Experience with big data technologies; Knowledge of statistical analysis,23
Machine Learning Engineer,Hilton,"Dallas, TX",7 days ago,Experience with Agile methodologies; Familiarity with cloud services; Strong communication skills,7
Machine Learning Engineer,Johnson & Johnson,"Mountain View, CA",26 days ago,Ability to work in teams; Experience with SQL; Strong analytical thinking,26
Statistician,Caterpillar,"Minneapolis, MN",6 days ago,Experience in a fast-paced environment; Strong communication skills,6
Data Scientist,Zebra Technologies,"Milwaukee, WI",15 days ago,5+ years of experience; Strong programming skills in Python; Familiarity with cloud services; Excellent problem-solving skills,15
Data Engineer,Visa,"Portland, OR",30 days ago,Knowledge of machine learning algorithms; Strong communication skills; Familiarity with cloud services; Experience with Agile methodologies,30
Statistician,Microsoft,"Cincinnati, OH",24 days ago,Experience with SQL; Proficiency in data visualization tools; Familiarity with cloud services,24
Data Scientist,Zoom Video Communications,"Austin, TX",2 days ago,Ability to work in teams; Strong analytical thinking; 5+ years of experience; Experience with big data technologies,2
Data Engineer,Kroger,"Salt Lake City, UT",29 days ago,Knowledge of statistical analysis; Proficiency in data visualization tools; Master's in Computer Science,29
Business Analyst,Qualcomm,"Salt Lake City, UT",17 days ago,Experience with big data technologies; Strong communication skills,17
Data Scientist,Lowe's,"Phoenix, AZ",13 days ago,Strong programming skills in Python; Knowledge of statistical analysis; Excellent problem-solving skills; Experience in a fast-paced environment,13
Quantitative Analyst,Lyft,"Virginia Beach, VA",28 days ago,Ability to work in teams; Familiarity with cloud services; Experience with Agile methodologies,28
Data Architect,Lockheed Martin,"Mountain View, CA",29 days ago,Master's in Computer Science; Ability to work in teams; PhD in Statistics,29
Data Scientist,PepsiCo,"Austin, TX",6 days ago,Excellent problem-solving skills; Experience with SQL,6
Data Architect,Honeywell,"Omaha, NE",20 days ago,Familiarity with cloud services; Strong analytical thinking; Ability to work in teams,20
Statistician,Intuit,"Austin, TX",7 days ago,Proficiency in data visualization tools; Knowledge of statistical analysis; 5+ years of experience,7
Quantitative Analyst,Lockheed Martin,"Tucson, AZ",16 days ago,Excellent problem-solving skills; Strong programming skills in Python; Experience with SQL,16
Quantitative Analyst,Tesla,"Tucson, AZ",27 days ago,Familiarity with cloud services; Experience with big data technologies; PhD in Statistics; Knowledge of statistical analysis,27
Data Scientist,CrowdStrike,"Detroit, MI",16 days ago,Experience in a fast-paced environment; Strong analytical thinking; Experience with Agile methodologies,16
Research Scientist,Lyft,"Goleta, CA",17 days ago,Proficiency in data visualization tools; Excellent problem-solving skills,17
Data Engineer,Starbucks,"Houston, TX",10 days ago,Experience with big data technologies; Experience in a fast-paced environment; Knowledge of statistical analysis; Excellent problem-solving skills,10
Data Architect,AbbVie,"Seattle, WA",10 days ago,Knowledge of machine learning algorithms; 5+ years of experience; Knowledge of statistical analysis,10
Machine Learning Engineer,Chevron,"Dallas, TX",29 days ago,Proficiency in data visualization tools; Strong communication skills; PhD in Statistics; Experience with Agile methodologies,29
Quantitative Analyst,ExxonMobil,"Austin, TX",2 days ago,Master's in Computer Science; Ability to work in teams; Strong programming skills in Python,2
Business Analyst,Hilton,"Columbus, OH",25 days ago,Strong analytical thinking; Experience in a fast-paced environment,25
Research Scientist,Apple,"Detroit, MI",18 days ago,Experience with Agile methodologies; Strong communication skills,18
Machine Learning Engineer,NVIDIA,"Portland, OR",27 days ago,Excellent problem-solving skills; Knowledge of machine learning algorithms; PhD in Statistics,27
Research Scientist,Salesforce,"Cleveland, OH",15 days ago,Ability to work in teams; Knowledge of statistical analysis; Strong communication skills; Experience in a fast-paced environment,15
Data Analyst,NVIDIA,"Omaha, NE",7 days ago,Strong analytical thinking; Experience with big data technologies; PhD in Statistics; Proficiency in data visualization tools,7
Data Analyst,American Airlines,"Omaha, NE",9 days ago,Experience with SQL; Experience in a fast-paced environment,9
Data Scientist,Johnson & Johnson,"Indianapolis, IN",4 days ago,Experience with Agile methodologies; Knowledge of statistical analysis; 5+ years of experience; Ability to work in teams,4
Research Scientist,Pfizer,"San Jose, CA",27 days ago,Experience with SQL; Master's in Computer Science,27
AI Researcher,Square,"Phoenix, AZ",22 days ago,5+ years of experience; Excellent problem-solving skills; Familiarity with cloud services,22
Research Scientist,Thermo Fisher Scientific,"Pittsburgh, PA",25 days ago,Strong communication skills; Experience with Agile methodologies; Experience with SQL; Knowledge of statistical analysis,25
Data Analyst,RingCentral,"Omaha, NE",5 days ago,Experience in a fast-paced environment; Experience with SQL; 5+ years of experience,5
Data Analyst,Wells Fargo,"Austin, TX",7 days ago,Experience with Agile methodologies; Experience with SQL; Master's in Computer Science; Knowledge of machine learning algorithms,7
Data Scientist,eBay,"Phoenix, AZ",8 days ago,Strong programming skills in Python; PhD in Statistics; Proficiency in data visualization tools,8
Data Scientist,Delta Air Lines,"Milwaukee, WI",14 days ago,Excellent problem-solving skills; Master's in Computer Science,14
Statistician,JPMorgan Chase,"Denver, CO",4 days ago,Strong programming skills in Python; Ability to work in teams,4
Machine Learning Engineer,Intuit,"Tampa, FL",6 days ago,Experience with Agile methodologies; Proficiency in data visualization tools; Experience with SQL,6
Data Architect,Walmart,"Sacramento, CA",27 days ago,PhD in Statistics; Experience with SQL; Strong communication skills; Knowledge of machine learning algorithms,27
Data Analyst,eBay,"Houston, TX",12 days ago,Knowledge of machine learning algorithms; Experience with Agile methodologies,12
Machine Learning Engineer,Zoom Video Communications,"Omaha, NE",25 days ago,Experience in a fast-paced environment; Ability to work in teams; Strong programming skills in Python; Experience with Agile methodologies,25
Machine Learning Engineer,RingCentral,"Kansas City, MO",8 days ago,Strong communication skills; Experience with Agile methodologies; Experience in a fast-paced environment,8
Statistician,Honeywell,"Charlotte, NC",28 days ago,Experience with SQL; 5+ years of experience; Experience in a fast-paced environment; PhD in Statistics,28
Data Analyst,Anthem,"San Jose, CA",1 days ago,PhD in Statistics; Strong analytical thinking; Experience with big data technologies,1
Data Architect,Chevron,"Baltimore, MD",10 days ago,PhD in Statistics; Knowledge of machine learning algorithms,10
Data Analyst,Broadcom,"Pittsburgh, PA",17 days ago,Ability to work in teams; Experience in a fast-paced environment,17
Data Architect,Chevron,"Tucson, AZ",23 days ago,Experience with big data technologies; PhD in Statistics; Knowledge of statistical analysis,23
Data Analyst,RingCentral,"Atlanta, GA",7 days ago,Experience with Agile methodologies; Knowledge of statistical analysis; Proficiency in data visualization tools,7
Data Scientist,Anthem,"Pittsburgh, PA",14 days ago,Proficiency in data visualization tools; Master's in Computer Science; Experience with SQL,14
AI Researcher,Goldman Sachs,"Virginia Beach, VA",16 days ago,Proficiency in data visualization tools; PhD in Statistics,16
Quantitative Analyst,Intel,"New York, NY",13 days ago,Ability to work in teams; Excellent problem-solving skills; Experience with big data technologies; Proficiency in data visualization tools,13
Data Engineer,Salesforce,"Kansas City, MO",12 days ago,Master's in Computer Science; Knowledge of statistical analysis; Experience with Agile methodologies,12
Statistician,Booking Holdings,"New Orleans, LA",8 days ago,Experience with SQL; PhD in Statistics; 5+ years of experience,8
Machine Learning Engineer,ServiceNow,"Mountain View, CA",22 days ago,PhD in Statistics; Strong communication skills,22
Statistician,Cisco,"Denver, CO",11 days ago,PhD in Statistics; Master's in Computer Science,11
Data Analyst,Oracle,"Pittsburgh, PA",9 days ago,Excellent problem-solving skills; PhD in Statistics; Ability to work in teams,9
Statistician,Nordstrom,"Virginia Beach, VA",14 days ago,Experience with Agile methodologies; Knowledge of statistical analysis,14
Machine Learning Engineer,Booking Holdings,"Minneapolis, MN",2 days ago,Ability to work in teams; Knowledge of machine learning algorithms; 5+ years of experience; Familiarity with cloud services,2
Quantitative Analyst,eBay,"Oklahoma City, OK",25 days ago,Experience with Agile methodologies; Master's in Computer Science; Familiarity with cloud services; Excellent problem-solving skills,25
Data Scientist,Boeing,"Denver, CO",7 days ago,Master's in Computer Science; PhD in Statistics; Excellent problem-solving skills; Strong communication skills,7
Business Analyst,Marriott International,"Milwaukee, WI",2 days ago,Knowledge of machine learning algorithms; Experience with SQL,2
Business Analyst,Qualcomm,"Cleveland, OH",16 days ago,Knowledge of machine learning algorithms; Master's in Computer Science,16
Data Scientist,Walmart,"Atlanta, GA",7 days ago,5+ years of experience; Knowledge of machine learning algorithms; Experience with SQL; Ability to work in teams,7
Research Scientist,RingCentral,"Birmingham, AL",16 days ago,Experience in a fast-paced environment; Master's in Computer Science; Ability to work in teams,16
Machine Learning Engineer,Hilton,"Denver, CO",17 days ago,Experience with Agile methodologies; Ability to work in teams,17
Research Scientist,Cisco,"San Diego, CA",27 days ago,Master's in Computer Science; 5+ years of experience; Ability to work in teams; Experience with big data technologies,27
Data Scientist,American Express,"Mountain View, CA",23 days ago,Knowledge of machine learning algorithms; Proficiency in data visualization tools; Master's in Computer Science,23
Data Architect,NVIDIA,"Oklahoma City, OK",15 days ago,Ability to work in teams; PhD in Statistics; 5+ years of experience; Experience with SQL,15
Data Scientist,Procter & Gamble,"Louisville, KY",2 days ago,Experience with SQL; Experience in a fast-paced environment,2
Data Architect,PepsiCo,"Pittsburgh, PA",21 days ago,Strong analytical thinking; Knowledge of statistical analysis; Familiarity with cloud services,21
Data Architect,Intuit,"Phoenix, AZ",14 days ago,Strong communication skills; Experience with big data technologies; Experience with SQL; Experience with Agile methodologies,14
AI Researcher,BlackRock,"New Orleans, LA",6 days ago,5+ years of experience; Excellent problem-solving skills; Master's in Computer Science; Familiarity with cloud services,6
Quantitative Analyst,American Airlines,"Tucson, AZ",29 days ago,Experience in a fast-paced environment; Experience with big data technologies; Familiarity with cloud services; Strong communication skills,29
Machine Learning Engineer,Danaher,"New York, NY",24 days ago,Experience with big data technologies; Experience with SQL; Strong communication skills; Master's in Computer Science,24
Data Engineer,T-Mobile,"Portland, OR",19 days ago,5+ years of experience; Knowledge of statistical analysis,19
Statistician,United Parcel Service,"Chicago, IL",21 days ago,Experience with SQL; Excellent problem-solving skills,21
Statistician,JPMorgan Chase,"Sacramento, CA",14 days ago,Experience in a fast-paced environment; Experience with big data technologies; Experience with SQL; 5+ years of experience,14
